signal,global_plv,high_R_plv,non_high_R_plv,high_minus_background,best_lag_days,best_lag_plv,p_circular,fdr_q
combo_Venus_Mars_Moon,0.011171273212994036,0.14438500145622607,0.004381073374553793,0.14000392808167228,213,0.2459061750024892,0.7716141929035483,0.8915388931301221
combo_Venus_Mars_Pluto,0.01897523527635196,0.14297487580107354,0.02646227342403209,0.11651260237704145,240,0.2785898367564865,0.7556221889055472,0.8915388931301221
combo_Mars_Uranus_Moon,0.011795167648235095,0.13155113539450408,0.005574204085196579,0.1259769313093075,212,0.3320593866776973,0.783608195902049,0.8915388931301221
inner_planets,0.026564911124785377,0.13118196369562848,0.02830730584397819,0.10287465785165029,203,0.24192422921312406,0.7931034482758621,0.8915388931301221
combo_Mercury_Venus_Mars,0.026564911124785377,0.13118196369562848,0.02830730584397819,0.10287465785165029,203,0.24192422921312406,0.7941029485257372,0.8915388931301221
all_classical,0.02887796013518117,0.127408224291146,0.03495897215162121,0.09244925213952479,132,0.20696543056189926,0.7336331834082959,0.8915388931301221
combo_Jupiter_Neptune,0.07622516846650712,0.10958343961627143,0.08478743503151998,0.024796004584751452,196,0.29239550699394323,0.7456271864067966,0.8915388931301221
combo_Mars_Uranus_Neptune,0.01910884614087456,0.10436205314165857,0.015823924660859693,0.08853812848079888,216,0.33181999309629323,0.750624687656172,0.8915388931301221
combo_Mercury_Uranus_Neptune,0.017786701891441038,0.09081620276553967,0.016866364743786774,0.0739498380217529,129,0.3201880828149794,0.729135432283858,0.8915388931301221
Pluto,0.027295501851320302,0.08999869269341407,0.031046554079627572,0.058952138613786495,140,0.2442868681994172,0.7831084457771115,0.8915388931301221
combo_Mercury_Neptune_Pluto,0.03658018369543745,0.08622202011172915,0.03401631871376073,0.05220570139796842,74,0.2324488611265089,0.7126436781609196,0.8915388931301221
combo_Mercury_Saturn_Uranus,0.023425743261452258,0.07719992634360236,0.023970565846982973,0.05322936049661939,127,0.24119800253668247,0.792103948025987,0.8915388931301221
combo_Venus_Neptune,0.025876850493700063,0.07443469741858569,0.02617391884815784,0.04826077857042785,155,0.26291496465979275,0.7856071964017991,0.8915388931301221
combo_Venus_Saturn_Pluto,0.01809139208461399,0.0734803033999472,0.015810987460668592,0.057669315939278605,52,0.19647115992398326,0.783608195902049,0.8915388931301221
combo_Saturn_Moon,0.0076872534422589315,0.0732094695297511,0.004315252921417904,0.0688942166083332,194,0.15388259888884415,0.744127936031984,0.8915388931301221
combo_Mercury_Neptune,0.00820818116422625,0.0691696609477219,0.011215165858560465,0.05795449508916143,127,0.21800854902201916,0.7711144427786107,0.8915388931301221
combo_Neptune_Pluto_Moon,0.01758111636165063,0.06727634482712028,0.015415780724292776,0.0518605641028275,169,0.24473553360098793,0.744127936031984,0.8915388931301221
combo_Saturn_Pluto_Moon,0.0139933393957415,0.06586886981978764,0.012315556644689314,0.05355331317509832,233,0.20683853184344445,0.7716141929035483,0.8915388931301221
combo_Mars_Saturn_Pluto,0.006554757069923325,0.11529457440116443,0.0067152183230955,0.10857935607806893,240,0.21066900925007864,0.816591704147926,0.9111968406040882
combo_Venus_Mars_Neptune,0.015402241311691156,0.12134990402337874,0.012265479914803439,0.1090844241085753,200,0.38427648496920036,0.8455772113943029,0.9327233973374759
combo_Mars_Jupiter_Pluto,0.09488987542016651,0.10891551053860028,0.0949390034505954,0.01397650708800488,227,0.35084804696510846,0.8460769615192404,0.9327233973374759
combo_Mars_Jupiter_Neptune,0.06463409092563219,0.11220251159288042,0.07011103682102654,0.042091474771853876,222,0.3753761865850873,0.8685657171414293,0.9346936701140955
venus_mars,0.011860663681326203,0.10854658630732568,0.00678959146523882,0.10175699484208686,224,0.29129803388046366,0.8960519740129935,0.9346936701140955
combo_Venus_Mars,0.011860663681326203,0.10854658630732568,0.00678959146523882,0.10175699484208686,224,0.29129803388046366,0.904047976011994,0.9346936701140955
combo_Venus_Mars_Saturn,0.0674951983622,0.1073288991798962,0.06890989526374423,0.03841900391615197,215,0.18293556818094314,0.8685657171414293,0.9346936701140955
combo_Mercury_Mars_Saturn,0.01968985180082348,0.10518659304926781,0.015211991001414559,0.08997460204785325,178,0.26532427424269867,0.879560219890055,0.9346936701140955
combo_Mercury_Mars_Uranus,0.005190137558309547,0.09577472766628348,0.0006511386407567312,0.09512358902552674,176,0.3499463291827984,0.8915542228885557,0.9346936701140955
