gx,gy,gz,energy
0.05017860789542746,0.04845691838005991,0.9975640502598242,0.001930401109265358
0.04845691838005991,0.050178607895427454,0.9975640502598242,0.001972589743770525
0.04667619157386234,0.05183916250649643,0.9975640502598242,0.0020170213670382604
0.044838597018148144,0.05343655908326208,0.9975640502598242,0.0020634795126662536
0.04294637353882373,0.054968851444055694,0.9975640502598242,0.0021117378412389624
0.04100182651872397,0.05643417272666719,0.9975640502598242,0.0021615612430304905
0.03900732508885835,0.057830737662829146,0.9975640502598242,0.00221270698343554
0.036965299241989755,0.05915684475329118,0.9975640502598242,0.00226492588554801
0.03487823687206266,0.0604108783408347,0.9975640502598242,0.0023179635441258344
0.03274868074308747,0.06159131057870237,0.9975640502598242,0.0023715615650277476
0.03057922539117438,0.06269670329204398,0.9975640502598242,0.002425458824083571
0.028372513963490723,0.06372570973011102,0.9975640502598242,0.0024793927392649183
0.026131234997993285,0.064677076207065,0.9975640502598242,0.0025331005499584437
0.02385811914785899,0.06554964362940051,0.9975640502598242,0.0025863205971091373
0.021555935854604538,0.06634234890812216,0.9975640502598242,0.002638793597996943
0.019227489973948627,0.0670542262539547,0.9975640502598242,0.002690263909436103
0.01687561835852724,0.06768440835400855,0.9975640502598242,0.002740480773243063
0.014503186401625736,0.06823212742846686,0.9975640502598242,0.0027891995379051354
0.012113084546138438,0.06869671616600713,0.9975640502598242,0.002836182850498083
0.009708224763009306,0.06907760853681702,0.9975640502598242,0.0028812018130456966
0.0072915370034438345,0.06937434048221469,0.9975640502598242,0.0029240370976877346
0.004865965629214838,0.06958655048003272,0.9975640502598242,0.0029644800152232092
0.002434465825411204,0.06971397998507722,0.9975640502598242,0.003002333531823196
4.2713521145274716e-18,0.0697564737441253,0.9975640502598242,0.0030374132289598416
-0.0024344658254111954,0.06971397998507722,0.9975640502598242,0.0030695482018748945
-0.004865965629214845,0.06958655048003272,0.9975640502598242,0.003098581892210509
-0.007291537003443841,0.06937434048221469,0.9975640502598242,0.0031243728507458278
-0.0097082247630093,0.06907760853681702,0.9975640502598242,0.003146795426523362
-0.01211308454613843,0.06869671616600713,0.9975640502598242,0.003165740379007836
-0.014503186401625727,0.06823212742846688,0.9975640502598242,0.003181115410295084
-0.016875618358527248,0.06768440835400855,0.9975640502598242,0.003192845614778167
-0.019227489973948617,0.0670542262539547,0.9975640502598242,0.003200873844079958
-0.02155593585460453,0.06634234890812216,0.9975640502598242,0.0032051609854742967
-0.023858119147858983,0.06554964362940052,0.9975640502598242,0.003205686152439252
-0.026131234997993292,0.064677076207065,0.9975640502598242,0.0032024467864141563
-0.028372513963490727,0.06372570973011102,0.9975640502598242,0.0031954586692646654
-0.030579225391174386,0.06269670329204398,0.9975640502598242,0.0031847558463950904
-0.032748680743087476,0.06159131057870237,0.9975640502598242,0.003170390460882607
-0.03487823687206264,0.06041087834083471,0.9975640502598242,0.003152432499441428
-0.03696529924198975,0.059156844753291186,0.9975640502598242,0.003130969451454568
-0.03900732508885833,0.057830737662829146,0.9975640502598242,0.0031061058827343588
-0.041001826518723965,0.05643417272666719,0.9975640502598242,0.0030779629260883306
-0.04294637353882373,0.054968851444055694,0.9975640502598242,0.003046677691172341
-0.044838597018148144,0.05343655908326208,0.9975640502598242,0.0030124025965061196
-0.04667619157386234,0.05183916250649643,0.9975640502598242,0.0029753046269055615
-0.048456918380059916,0.050178607895427454,0.9975640502598242,0.0029355645199494844
-0.05017860789542747,0.0484569183800599,0.9975640502598242,0.002893375885444317
-0.051839162506496415,0.04667619157386235,0.9975640502598242,0.0028489442621765825
-0.05343655908326207,0.04483859701814815,0.9975640502598242,0.0028024861165485892
-0.05496885144405569,0.04294637353882374,0.9975640502598242,0.002754227787975881
