date,vx,vy,zach_75W_parallel,zach_75W_perp,adhikari_100W_parallel,adhikari_100W_perp,observed_326_parallel,observed_326_perp,v_mag,direction_deg
1973-05-04,-448.8922499999997,573.9903750000001,-438.2502637549254,-582.1562582515464,-487.32085027307664,-541.7449506842021,-693.1198856392834,224.84222653694215,728.6763360386441,128.0273757328033
1973-05-05,-430.62975000000074,571.4336249999983,-440.50731570974364,-563.8543022553771,-487.97419289520315,-523.3159241165674,-676.549870514548,232.9348451229445,715.5266377750739,127.00151099669552
1973-05-06,-409.9931250000008,569.2421249999982,-443.7316408380698,-543.3536512630924,-489.3994990289225,-502.61226583920484,-658.2158617708631,242.65786353427697,701.5204625823682,125.76308672882226
1973-05-07,-387.53024999999997,567.5985000000007,-447.9578408595953,-521.2307787148825,-491.6814816947906,-480.2052398982425,-638.6741909722894,253.85631694563924,687.2756010999614,124.32347088765579
1973-05-08,-363.4237499999991,566.6853750000016,-453.31505115023015,-497.70935364288516,-494.96827891025015,-456.3064093080209,-618.1783837095093,266.5794857397187,673.2080928679885,122.67265592882069
1973-05-09,-338.404124999999,565.9548749999981,-459.0849977854458,-473.3531843788692,-498.59348913383127,-431.5400386367764,-597.0276841172845,279.96467054046366,659.41054916742,120.87667267472614
1973-05-10,-313.0192499999998,565.4070000000006,-465.1258802809167,-448.6914775349153,-502.4619748702048,-406.4456794321926,-575.6763011556843,293.7055035358936,646.2709389409082,118.9696842487125
1973-05-11,-288.1822500000005,565.5896250000015,-471.7305711081548,-424.7480446154865,-506.95472517481306,-382.0177217690757,-555.1876175701323,307.74558066608483,634.7760495818231,116.99999534287514
1973-05-12,-264.62362499999966,566.5027500000007,-478.7100029547127,-402.2284944366854,-511.94489005387015,-358.97556771099954,-536.1672453073783,321.67641151505245,625.260768532381,115.0381242460972
1973-05-13,-242.8912499999997,568.328999999999,-486.0987775402814,-381.7093004387046,-517.5171825279315,-337.8904813040949,-519.1715159314849,335.3430312574948,618.0566410674359,113.14079235418399
1973-05-14,-223.35037499999981,571.0683750000018,-493.80236120864237,-363.54326702959673,-523.6081776001092,-319.1221635801494,-504.5032354158302,348.5411946854239,613.1920408304263,111.3609495302735
1973-05-15,-205.63575000000088,574.3556250000019,-501.56248320796016,-347.2830561450851,-529.9215992355016,-302.2474885104822,-491.6553525790425,361.1723410334504,610.0577396011016,109.69882073428408
1973-05-16,-189.564750000002,577.6428749999968,-508.8972037542664,-332.6104650968065,-535.949608384871,-286.9914680838588,-480.17009662244277,372.8843839455055,607.9523710627545,108.16825623049385
1973-05-17,-175.31999999999886,580.9301249999969,-515.7592560194602,-319.70189608878553,-541.6604925497821,-273.5339528161707,-470.198870532721,383.5752008176038,606.8087940467834,106.7933882666581
