theta1,theta2,omega1,omega2,state,impulse
83.63815294134301,-0.9068974008361723,-20.736048276936344,-7.010627281362787,1,0
83.58137895710918,-0.9261826981272031,-20.737278735017753,-7.0774792149337316,1,0
83.52460179152772,-0.945651564915207,-20.738356272695455,-7.144719997075782,1,0
83.46782190701913,-0.965305052662868,-20.739248398012933,-7.212339620313799,1,0
83.41103985642566,-0.9851441843282874,-20.739921542237425,-7.280327254583369,1,0
83.35425628598018,-1.0051699520719488,-20.74034104573184,-7.348671217383128,1,0
83.29747193831078,-1.0253833148820621,-20.740471145394622,-7.417358943808296,1,0
83.24068765547837,-1.0457851961174425,-20.74027496441704,-7.486376956825438,1,0
83.18390438203744,-1.0663764809700866,-20.739714504416042,-7.5557108378270925,1,0
83.12712316811675,-1.0871580138468175,-20.738750639698992,-7.625345197409075,1,0
83.07034517251137,-1.1081305956718475,-20.737343114276882,-7.695263646662653,1,0
83.01357166577985,-1.1292949811112263,-20.735450541904356,-7.765448769175862,1,0
82.95680403333598,-1.1506518757220916,-20.733030409228377,-7.835882093803207,1,0
82.90004377852877,-1.1722019330280131,-20.730039082258372,-7.90654406839937,1,0
82.84329252569871,-1.1939457515244156,-20.72643181688909,-7.977414034877057,1,0
82.78655202320014,-1.2158838716173466,-20.722162773141463,-8.048470205525518,1,0
82.72982414637967,-1.2380167724992301,-20.717185033541682,-8.119689640923042,1,0
82.67311090049766,-1.2603448689666856,-20.711450625960424,-8.191048229603467,1,0
82.6164144235818,-1.282868508184944,-20.704910551363355,-8.262520669829598,1,0
82.55973698919657,-1.3055879664058623,-20.69751481666026,-8.334080453672158,1,0
82.50308100911685,-1.3285034456451612,-20.689212472718282,-8.405699853559895,1,0
82.44644903588942,-1.3516150703267924,-20.679951658150458,-8.477349911712224,1,0
82.38984376526662,-1.3749228839023122,-20.669679648577585,-8.549000432471672,1,0
82.33326803849816,-1.398426845453263,-20.658342912051012,-8.620619978026099,1,0
82.27672484446141,-1.4221268262871234,-20.645887170663627,-8.692175867692754,1,0
82.22021732161568,-1.4460226065357695,-20.632257468610987,-8.76363418106638,1,0
82.16374875975991,-1.4701138717686641,-20.617398247359233,-8.834959765524445,1,0
82.10732260157538,-1.4944002096324123,-20.601253427064876,-8.906116247909665,1,0
82.05094244393752,-1.518881106527923,-20.583766494990414,-8.97706605096198,1,0
81.99461203897447,-1.5435559443399383,-20.56488060128686,-9.04777041484681,1,0
81.9383352948545,-1.5684239972320808,-20.544538661515617,-9.11818942376783,1,0
81.88211627628307,-1.5934844285221035,-20.52268346601886,-9.188282037936176,1,0
81.82595920469149,-1.6187362876519913,-20.499257796398524,-9.258006131264437,1,0
81.7698684580961,-1.6441785072696158,-20.474204549309434,-9.327318535088978,1,0
81.71384857060902,-1.6698099004382414,-20.447466866531613,-9.396175087700044,1,0
81.65790423158532,-1.6956291579893967,-20.418988271643684,-9.464530690131085,1,0
