lag_days,prob_condition_after_event,global_event_probability,body,lag_enrichment
145,0.044848484848484846,0.050024050024050026,Mercury,0.8965384615384614
146,0.044848484848484846,0.050024050024050026,Mercury,0.8965384615384614
147,0.04606060606060606,0.050024050024050026,Mercury,0.9207692307692307
148,0.04727272727272727,0.050024050024050026,Mercury,0.945
149,0.048484848484848485,0.050024050024050026,Mercury,0.9692307692307692
150,0.0496969696969697,0.050024050024050026,Mercury,0.9934615384615384
151,0.05090909090909091,0.050024050024050026,Mercury,1.0176923076923077
152,0.052121212121212124,0.050024050024050026,Mercury,1.041923076923077
153,0.052121212121212124,0.050024050024050026,Mercury,1.041923076923077
154,0.05090909090909091,0.050024050024050026,Mercury,1.0176923076923077
155,0.0496969696969697,0.050024050024050026,Mercury,0.9934615384615384
156,0.0496969696969697,0.050024050024050026,Mercury,0.9934615384615384
157,0.0496969696969697,0.050024050024050026,Mercury,0.9934615384615384
158,0.05090909090909091,0.050024050024050026,Mercury,1.0176923076923077
159,0.05218446601941747,0.050024050024050026,Mercury,1.0431875466766243
160,0.053462940461725394,0.050024050024050026,Mercury,1.0687447424992988
161,0.0535279805352798,0.050024050024050026,Mercury,1.0700449185850645
162,0.0535931790499391,0.050024050024050026,Mercury,1.0713482619694557
163,0.05365853658536585,0.050024050024050026,Mercury,1.07265478424015
164,0.052503052503052504,0.050024050024050026,Mercury,1.0495562130177514
165,0.05012224938875306,0.050024050024050026,Mercury,1.0019630430694
166,0.04767726161369193,0.050024050024050026,Mercury,0.9530867970660146
167,0.04523227383863081,0.050024050024050026,Mercury,0.9042105510626293
168,0.044009779951100246,0.050024050024050026,Mercury,0.8797724280609366
169,0.042787286063569685,0.050024050024050026,Mercury,0.8553343050592439
170,0.04156479217603912,0.050024050024050026,Mercury,0.8308961820575511
171,0.04156479217603912,0.050024050024050026,Mercury,0.8308961820575511
172,0.04156479217603912,0.050024050024050026,Mercury,0.8308961820575511
173,0.04156479217603912,0.050024050024050026,Mercury,0.8308961820575511
174,0.04156479217603912,0.050024050024050026,Mercury,0.8308961820575511
175,0.044009779951100246,0.050024050024050026,Mercury,0.8797724280609366
176,0.04767726161369193,0.050024050024050026,Mercury,0.9530867970660146
177,0.05012224938875306,0.050024050024050026,Mercury,1.0019630430694
178,0.05256723716381418,0.050024050024050026,Mercury,1.0508392890727853
179,0.0550122249388753,0.050024050024050026,Mercury,1.0997155350761707
180,0.05745721271393643,0.050024050024050026,Mercury,1.148591781079556
0,0.11177884615384616,0.050024050024050026,Venus,2.23450212647929
1,0.11177884615384616,0.050024050024050026,Venus,2.23450212647929
2,0.11177884615384616,0.050024050024050026,Venus,2.23450212647929
3,0.11177884615384616,0.050024050024050026,Venus,2.23450212647929
4,0.11057692307692307,0.050024050024050026,Venus,2.210475221893491
5,0.109375,0.050024050024050026,Venus,2.186448317307692
6,0.10817307692307693,0.050024050024050026,Venus,2.1624214127218937
7,0.10697115384615384,0.050024050024050026,Venus,2.1383945081360944
8,0.10336538461538461,0.050024050024050026,Venus,2.066313794378698
9,0.09975961538461539,0.050024050024050026,Venus,1.9942330806213018
10,0.09615384615384616,0.050024050024050026,Venus,1.9221523668639053
11,0.09254807692307693,0.050024050024050026,Venus,1.850071653106509
12,0.0889423076923077,0.050024050024050026,Venus,1.7779909393491125
13,0.08533653846153846,0.050024050024050026,Venus,1.705910225591716
14,0.08052884615384616,0.050024050024050026,Venus,1.6098026072485208
15,0.07572115384615384,0.050024050024050026,Venus,1.5136949889053253
16,0.07091346153846154,0.050024050024050026,Venus,1.41758737056213
17,0.06610576923076923,0.050024050024050026,Venus,1.3214797522189348
18,0.06129807692307692,0.050024050024050026,Venus,1.2253721338757395
19,0.056490384615384616,0.050024050024050026,Venus,1.1292645155325443
20,0.051682692307692304,0.050024050024050026,Venus,1.033156897189349
21,0.04807692307692308,0.050024050024050026,Venus,0.9610761834319527
22,0.04447115384615385,0.050024050024050026,Venus,0.8889954696745562
23,0.040865384615384616,0.050024050024050026,Venus,0.8169147559171598
24,0.038461538461538464,0.050024050024050026,Venus,0.7688609467455622
25,0.036057692307692304,0.050024050024050026,Venus,0.7208071375739644
26,0.03365384615384615,0.050024050024050026,Venus,0.6727533284023668
27,0.03125,0.050024050024050026,Venus,0.6246995192307692
28,0.028846153846153848,0.050024050024050026,Venus,0.5766457100591716
29,0.026442307692307692,0.050024050024050026,Venus,0.5285919008875739
30,0.02403846153846154,0.050024050024050026,Venus,0.48053809171597633
31,0.021634615384615384,0.050024050024050026,Venus,0.43248428254437865
32,0.019230769230769232,0.050024050024050026,Venus,0.3844304733727811
33,0.016826923076923076,0.050024050024050026,Venus,0.3363766642011834
